section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Camera Crane Mounting Kit,90.00,90.0,Q Dodge Elite Nov 2026.xls,17
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre-Rigging & Additional Equipment,90.00,90.0,Q Dodge Elite Nov 2026.xls,19
Travel Charges,London Congestion Charge,30.00,30.0,Q Dodge Elite Nov 2026.xls,37
Travel Charges,ULEZ Charge per vehicle,100.00,100.0,Q Dodge Elite Nov 2026.xls,38
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Explorer ""Compact"" Tracking Vehicle",650.00,650.0,Q Explorer Elite  2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"""A"" Frame Car Towing Frame - Only small vehicles can be towed by the Explorer",150.00,150.0,Q Explorer Elite  2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),GLC Dynamic Tracking Vehicle,755.00,755.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),HD Monitors,275.00,275.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Black Tec Tower Rigging Kit,95.00,95.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Discount,0.0%,0.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Black Tec Tower - 3rd Party Cost,,,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,17
Labour Rates - Daily Rates,To Services of Driver/Technician per 9hr day (10hrs Inc. 1hr lunch),680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,19
Labour Rates - Daily Rates,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),102.00,102.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,20
Labour Rates - Daily Rates,"Double Time for Night Work, Sundays and Bank Holidays",680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,21
Labour Rates - Daily Rates,Supplementary charge applies for Saturday working,340.00,340.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,22
Labour Rates - Daily Rates,Supplementary charge applies for Late Working Chargeable from 22:00 - 23:59,340.00,340.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,23
Labour Rates - Daily Rates,Turnaround Day after Night Work Chargeable from - 23:59,680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,24
Labour Rates - Daily Rates,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,25
Labour Rates - Daily Rates,Recce Charge per man,680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,26
Travel Charges,Tracking Vehicle and Crew Travel Days,680.00,680.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,30
Travel Charges,Tracking Vehicle and Crew Travel Time,68.00,68.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,31
Travel Charges,Recce Travel Time/Travel Day (When recce is outside the London area),68.00,68.0,Q GLC Dynamic Tracking Vehicle Non Circuit Work 2026.xls,39
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),GMC Sierra Elite Tracking Vehicle,700.00,700.0,Q GMC Sierra Elite Tracking Vehicle 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Camera Crane Mounted Kit,150.00,150.0,Q GMC Sierra Elite Tracking Vehicle 2026.xls,18
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),GMC Command Vehicle / Mobile Video Village,700.00,700.0,Q GMC Video Pursuit 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),3K Generator including Fuel,180.00,180.0,Q GMC Video Pursuit 2026.xls,14
Labour Rates - Daily Rates,To Services of Driver/Technician per 10hr Cont Day (Call to Wrap),585.00,585.0,Q GMC Video Pursuit 2026.xls,19
Labour Rates - Daily Rates,Overtime Charged @ 1.5T (inc Pre-Calls & Call Times Prior to 07:00),87.75,87.75,Q GMC Video Pursuit 2026.xls,20
Travel Charges,Overnights (Meal Allowance) per man,35.00,35.0,Q GMC Video Pursuit 2026.xls,38
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Land Rover Discovery 4x4 Tracking Vehicle,600.00,600.0,Q Land Rover Discovery 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Post Camera Mount - 2 Available if to be rigged front and back,185.00,185.0,Q Land Rover Discovery 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Discount,,,Q Land Rover Discovery 2026.xls,18
Travel Charges,Recce Mileage,0.68,0.68,Q Land Rover Discovery 2026.xls,43
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Lightning F150 Plate Vehicle,700.00,700.0,Q Lightning F150 Plate Vehicle 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Generator 3K,180.00,180.0,Q Lightning F150 Plate Vehicle 2026.xls,14
Labour Rates - Daily Rates,To Services of Driver/Technician per 10hr day (Call to Wrap),585.00,585.0,Q Lightning F150 Plate Vehicle 2026.xls,22
Travel Charges,London Congestion Charge-ULEZ per vehicle,30.00,30.0,Q Lightning F150 Plate Vehicle 2026.xls,37
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Mini Cooper Tracking Vehicle - Plate Shot Vehicle,700.00,700.0,Q Mini Cooper 2026.xls,13
Labour Rates - Daily Rates,Stunt Interactive Driving (Higher Speed Choreographed Driving and or Braking Traction),150.00,150.0,Q Mini Cooper 2026.xls,24
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Raptor Elite Tracking Vehicle,850.00,850.0,Q Raptor Elite 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Universal ""A"" Frame (Car Towing Frame) (2 Man Crew Required)",150.00,150.0,Q Raptor Elite 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Tracking Tow Dolly (IF TOW-DOLLY IS USED 2 CREW REQUIRED),230.00,230.0,Q Raptor Elite 2026.xls,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Discount,0.00%,0.0,Q Raptor Elite 2026.xls,20
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Silverado Elite Tracking Vehicle,800.00,800.0,Q Silverado Elite 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Rear Wheel Lifters for Tow Dolly,150.00,150.0,Q Silverado Elite 2026.xls,17
Pre-Rigging & Additional Equipment,Discount,0.00%,0.0,Q Silverado Elite 2026.xls,21
Travel Charges,Overnight Meal Allowance / Per Diem,35.00,35.0,Q Silverado Elite 2026.xls,39
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Fuller Body Rig,600.00,600.0,Q Silverado Elite Horse Rig 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Camera Crane Mounted Kit,175.00,175.0,Q Silverado Elite Horse Rig 2026.xls,18
Labour Rates - Daily Rates - 2 Man Crew,To Services of Driver/Technician per 10hr Day Cont. Day (Call to Wrap),585.00,585.0,Q Silverado Elite Horse Rig 2026.xls,24
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Sprinter No.1 Command Vehicle / Mobile Video Village,700.00,700.0,Q Sprinter No.1 Video Pursuit Vehicle 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Sprinter No.2 Command Vehicle / Mobile Video Village,700.00,700.0,Q Sprinter No.2 Video Pursuit Vehicle 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Tiger 6 Tracking Vehicle - Plate Shot Vehicle,700.00,700.0,Q Tiger 6 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Remote Head mounts - Post Rigs Unit Price,185.00,185.0,Q Tiger 6 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Artic Low Loader No1 Elite Tracking Trailer,"1,075.00",1075.0,Low Loader No.1 OR No.2 London - 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),8K Generator (Built in Generator) - Charged if used,180.00,180.0,Low Loader No.1 OR No.2 London - 2026.xls,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Basic Riggers Scaffolding Kit (18 Tubes and Fittings),95.00,95.0,Low Loader No.1 OR No.2 London - 2026.xls,15
Labour Rates - Daily Rates,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times prior to 07.00),87.75,87.75,Low Loader No.1 OR No.2 London - 2026.xls,22
Travel Charges,Overnight Meal Allowance per man per night,35.00,35.0,Low Loader No.1 OR No.2 London - 2026.xls,39
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Artic Low Loader No.2 Elite Tracking Trailer,"1,075.00",1075.0,Low Loader No.2 - 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre Rigging and Prep Work,,,Low Loader No.2 - 2026.xls,16
Travel Charges,Recce Travel Time/Travel Day (When recce is outside London area),58.50,58.5,Low Loader No.2 - 2026.xls,42
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Artic Low Loader No1 Elite Tracking Trailer,"1,125.00",1125.0,PB Q Low Loader No.1 - 2026.xls,13
