"file","sheet","row","section","description","qty","unitPrice","total","totalFormula","qtyFormula","unitPriceFormula","isSectionOrHeader"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pulse Elite Tracking Vehicle - Fully Electric and Silent  (Rear Wheel Drive)","","700.00","-","=E13*F13","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","-","=E14*F14","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","5K Generator including Fuel","","180.00","-","=E15*F15","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","""A"" Frame  Car Towing Frame  - Only small vehicles can be towed by the Explorer","","125.00","-","=E16*F16","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","17","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Basic Riggers Scaffolding  Kit","","95.00","-","=E17*F17","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","18","Pre-Rigging & Additional Equipment","Pre-Rigging & Additional Equipment","","","","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","19","Pre-Rigging & Additional Equipment","Equipment Discount","Less","0.0%","-","=SUM(G13:G18)*F19","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","21","Labour Rates - Daily Rates","Labour Rates - Daily Rates","","","","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","22","Labour Rates - Daily Rates","To Services of Driver/Technician per 10hr Cont. day (Call to Wrap)","","585.00","-","=E22*F22","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates","Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","27","Labour Rates - Daily Rates","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","28","Labour Rates - Daily Rates","Commercials Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","29","Labour Rates - Daily Rates","Recce Charge per man","","585.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","31","Travel Charges","Travel Charges","","","","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","32","Travel Charges","Transport vehicle and Trailer","","225.00","-","=E32*F32","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","33","Travel Charges","Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage","","1.25","-","=E33*F33","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","34","Travel Charges","Tracking Vehicle and Crew Travel Days","","585.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","35","Travel Charges","Tracking Vehicle and Crew Travel Time","","58.50","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","36","Travel Charges","London and Home Counties Fixed Travel Charge","","185.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","37","Travel Charges","London Congestion-ULEZ Charge per vehicle","","30.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","38","Travel Charges","Clean air zone charge where applicable","","TBC","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","39","Travel Charges","Travel Meal Allowance per man per day","","22.00","TBC","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","40","Travel Charges","Hotel & Overnight charge if Tracking Vehicle is pre-rigged & left rigged between shoot days","","150.00","TBC","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","41","Travel Charges","Overnight Meal Allowance","","35.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","42","Travel Charges","Hotel Per Man Per Room","TBC","","Production","","","","True"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","43","Travel Charges","Breakfast/Lunch not Supplied on location per man","","22.00","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","44","Travel Charges","Recce Travel Time/Travel Day (When recce is outside the London area)","","58.50","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","45","Travel Charges","Recce Mileage (Inc On Location Recce Mileage, Location to Location Moves)","","0.68","TBC","","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","47","Travel Charges","","Total Price","","£              -","=SUM(G12:G46)-2*G19","","","False"
"Pulse Elite Fully Electric Tracking Vehicle 2026.xls","Bickers Action Quote","48","Travel Charges","","Excludes VAT","","","","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","10","Audi RS4 Tracking Car - Compact and Higher Speed - Driven by Regular Precision Tracking Vehicle Driver","DESCRIPTION","QTY","UNIT PRICE","TOTAL","","","","True"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","12","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","","","","","","","True"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","13","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Audi RS4 Tracking Vehicle","","755.00","-","=E13*F13","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","14","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Performance Service parts charge","","125.00","TBC","","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Comms Kit 5 x Head sets  with 3 helmets (Hard Wired)","","200.00","TBC","","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Remote Head mounts - Post Rigs - 2x Available                             Unit Price","","185.00","TBC","","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","17","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging & Additional Equipment","","95.00","TBC","","","","False"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","18","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment Discount","Less","0.0%","0.00","=SUM(G13:G17)*F18","","","True"
"Q Audi RS 4 Film 2026.xls","Bickers Action Quote","20","Labour Rates - Daily Rates","Labour Rates - Daily Rates","","","","","","","True"
